Name,Geometry,L* (D65/10),a* (D65/10),b* (D65/10),r,g,b
PAR_EW_RL_NG_2,15as-45,35.47377949,35.81072955,13.17714539,139,57,64
PAR_EW_RL_NG_2,15as-30,34.96618691,36.51850261,13.62871533,139,54,62
PAR_EW_RL_NG_2,15as-15,34.761276,36.97928465,14.01998036,139,53,61
PAR_EW_RL_NG_2,15as15,34.08595878,38.29644573,14.8482525,138,50,59
PAR_EW_RL_NG_2,15as45,32.84977774,40.58668279,16.65754347,138,44,53
PAR_EW_RL_NG_2,15as80,31.776737,40.17191164,16.45339956,135,42,51
PAR_EW_RL_NG_2,45as-15,50.0449763,25.30357703,9.479193375,164,102,104
PAR_EW_RL_NG_2,45as15,39.33290967,31.75683103,12.27494021,144,70,74
PAR_EW_RL_NG_2,45as25,36.99146548,34.23623281,13.39015233,141,62,67
PAR_EW_RL_NG_2,45as45,33.71377128,37.38317699,15.10937731,136,50,57
PAR_EW_RL_NG_2,45as75,32.51005462,40.00623484,17.26668555,137,44,51
PAR_EW_RL_NG_2,45as110,32.9213452,41.01394319,18.22086763,139,43,51
PAR_PW_CN_NG_2,15as-45,43.92244376,33.33438496,19.26098251,162,80,74
PAR_PW_CN_NG_2,15as-30,44.17416649,33.64890853,19.64839925,163,80,74
PAR_PW_CN_NG_2,15as-15,44.2963714,33.42613684,19.35870583,163,80,74
PAR_PW_CN_NG_2,15as15,45.05079135,34.08749364,20.70876286,166,82,74
PAR_PW_CN_NG_2,15as45,43.78861377,36.30029766,23.22501304,166,76,67
PAR_PW_CN_NG_2,15as80,42.8533922,37.27762814,23.26074873,164,73,65
PAR_PW_CN_NG_2,45as-15,55.23504939,24.6468404,14.10334403,180,115,109
PAR_PW_CN_NG_2,45as15,48.85808654,29.08967271,17.50471192,169,96,88
PAR_PW_CN_NG_2,45as25,46.6411459,31.13298235,18.93832991,166,88,80
PAR_PW_CN_NG_2,45as45,43.99259427,33.8440401,21.29708884,163,79,70
PAR_PW_CN_NG_2,45as75,44.54032357,35.45592801,24.18585511,167,79,67
PAR_PW_CN_NG_2,45as110,46.54802816,36.86727755,25.17373297,175,82,70
PAR_EW_EB_NG_3,15as-45,43.74453809,-2.0029835,-31.20100254,54,107,155
PAR_EW_EB_NG_3,15as-30,42.81119575,-1.698319911,-31.92749255,50,105,154
PAR_EW_EB_NG_3,15as-15,42.13386816,-1.980698365,-31.5873511,48,103,151
PAR_EW_EB_NG_3,15as15,42.66397547,-1.714798006,-32.14945718,49,104,154
PAR_EW_EB_NG_3,15as45,42.58753723,-1.7984226,-32.89559002,46,104,155
PAR_EW_EB_NG_3,15as80,42.97783384,-1.743036086,-33.55495219,45,105,157
PAR_EW_EB_NG_3,45as-15,55.78895781,-2.18281662,-24.57787465,100,137,176
PAR_EW_EB_NG_3,45as15,47.86396443,-1.844038804,-27.88297789,74,117,160
PAR_EW_EB_NG_3,45as25,45.96699094,-1.735611165,-28.9549627,67,112,157
PAR_EW_EB_NG_3,45as45,44.24602198,-1.762320277,-30.0884662,59,108,154
PAR_EW_EB_NG_3,45as75,45.4061249,-1.868036124,-30.65105318,61,111,158
PAR_EW_EB_NG_3,45as110,47.80015479,-2.152676259,-31.83274259,64,117,167
PAR_EW_RL_NG_1,15as-45,50.31632586,35.91146966,7.001897657,179,94,109
PAR_EW_RL_NG_1,15as-30,52.09301607,34.54592181,6.007807195,182,100,115
PAR_EW_RL_NG_1,15as-15,54.20977624,33.0984229,5.350144926,185,107,122
PAR_EW_RL_NG_1,15as15,53.98691331,32.85743092,5.18063706,184,106,121
PAR_EW_RL_NG_1,15as45,50.48790598,36.80398987,6.663521192,180,94,110
PAR_EW_RL_NG_1,15as80,47.91662685,39.38473285,8.149479426,177,85,102
PAR_EW_RL_NG_1,45as-15,65.9654513,25.4877139,4.365848741,207,143,153
PAR_EW_RL_NG_1,45as15,57.00483067,29.56513234,4.785361441,188,117,130
PAR_EW_RL_NG_1,45as25,54.39584056,32.23908384,5.491767327,185,108,122
PAR_EW_RL_NG_1,45as45,50.10217334,35.43872962,6.141889532,177,94,110
